,z,SNR,GLON,GLAT,Msz,Y500
1066,0.021400000900030136,11.267046928405762,234.59330031553446,73.01158449340501,1.6670814752578735,28.542890548706055
1067,0.37400001287460327,6.077043533325195,235.56187251169027,23.29663410781744,6.772830963134766,2.346461772918701
1068,0.07919999957084656,4.778306007385254,235.74787358784044,-67.98808630088485,2.0145061016082764,11.469701766967773
1069,-1.0,9.396242141723633,235.96244763264033,38.21215957527772,0.0,5.2391357421875
1070,-1.0,5.001439571380615,236.68013047552716,-37.71271874367305,0.0,4.498616695404053
1071,0.14830000698566437,10.116793632507324,236.92925235901262,-26.652568857138036,4.889059066772461,3.646101236343384
1072,-1.0,7.398465633392334,237.41693841753633,-21.3451427929009,0.0,2.742739200592041
1073,-1.0,5.3631181716918945,237.68574734251138,57.8392039344433,0.0,3.7299816608428955
1074,0.14000000059604645,7.83664608001709,238.3444507860674,5.945089771749309,4.906650066375732,3.878927230834961
1075,0.16899999976158142,7.308777809143066,238.6956318909583,63.2635258373782,4.4743547439575195,4.514866828918457
1076,0.4300000071525574,12.164753913879395,239.27346579621585,-26.01040788282974,8.772140502929688,3.3857882022857666
1077,0.05420000106096268,36.24374008178711,239.29977568489875,24.75454965156149,6.853961944580078,40.25043487548828
1078,0.2849999964237213,8.388270378112793,239.43487660053205,47.95565264867604,6.525140285491943,2.417294979095459
1079,0.30000001192092896,6.908130645751953,239.66819608872922,6.800454852077522,6.269273281097412,1.36737060546875
1080,0.5799999833106995,6.6157755851745605,239.9372445404964,-39.97094275645205,7.089078426361084,1.3908478021621704
1081,0.04899999871850014,6.54280424118042,239.97421601537727,3.7411780304022386,2.2121148109436035,10.149391174316406
1082,-1.0,5.17408561706543,240.03951811482693,-19.81411388008692,0.0,1.350266695022583
1083,0.25099998712539673,7.287538528442383,240.3088861710095,-50.34723332044797,5.159398555755615,1.533596158027649
1084,0.33149999380111694,5.803711891174316,240.3931250464777,7.91296972446753,5.606316089630127,2.4910900592803955
1085,0.219200000166893,5.937474727630615,240.61534809066396,-60.4076442587714,4.263439178466797,1.5924172401428223
1086,-1.0,5.256460189819336,240.71712189994642,-74.03410997497136,0.0,1.5415986776351929
1087,0.05009999871253967,5.487066268920898,240.80849924746414,-46.51620875659481,1.5185853242874146,3.953920364379883
1088,0.41999998688697815,9.01615047454834,241.1117155886764,-28.681175772844796,7.361269474029541,2.1713037490844727
1089,-1.0,6.0733418464660645,241.41627023981056,-65.88101502429595,0.0,0.8765231966972351
1090,0.27079999446868896,11.128334999084473,241.76180733023955,-30.883964752486733,7.004795551300049,2.7521982192993164
1091,0.13920000195503235,14.473281860351562,241.7938875622206,-24.015295965890672,5.588379383087158,3.134563446044922
1092,0.15240000188350677,4.72943639755249,241.7980619488552,50.302610051854344,3.000643491744995,1.5871044397354126
1093,-1.0,4.59465217590332,241.91885668787506,7.798652088655686,0.0,2.637575387954712
1094,-1.0,4.514406681060791,241.98060486771166,19.567044986884056,0.0,1.0928151607513428
1095,0.16869999468326569,13.8642578125,241.98936757626635,14.870548752690198,6.592570781707764,10.507075309753418
1096,0.08760000020265579,5.602880477905273,242.09018116841574,10.417408847814457,2.5722479820251465,1.9266505241394043
1097,0.053599998354911804,6.5863752365112305,242.41195129885676,-37.40549491245005,1.754438042640686,7.986776828765869
1098,-1.0,4.6612348556518555,242.74311993231228,-11.6660202483733,0.0,0.7928532361984253
1099,-1.0,9.181917190551758,243.0001463425037,-65.94288452471116,0.0,16.101198196411133
1100,0.04450000077486038,6.268931865692139,243.0252793299597,42.878717020928384,1.706586241722107,7.086024284362793
1101,0.4099999964237213,10.322113037109375,243.15006260306166,-73.84826052765533,8.086372375488281,2.530695676803589
1102,0.2370000034570694,6.041776180267334,243.34025831583008,-50.92884313381441,4.112363338470459,1.7796800136566162
